config_id,theta_1,theta_2,theta_3,theta_4,h_1,h_2,h_3,h_4,curved_1,curved_2,curved_3,curved_4,curvature_c,offset_1,offset_2,offset_3,offset_4,generation_seed,batch_index,legal
cf0raw_b20300315_c000,156.6952689367835,21.082147418347553,76.05566096119087,266.2344230694847,1.580264891569764,1.605218363921752,1.8618228350691433,1.5934010493399045,False,True,False,False,0.35,0.0,0.20593097763842527,0.0,0.0,20300315,0,True
cf0raw_b20300315_c001,166.51023425163896,96.8841587708903,1.671945356710789,48.953250843581465,1.7227969555450249,2.150641689345857,2.059387906171995,2.0623432448097163,False,True,False,False,0.35,0.0,-0.30744410402971223,0.0,0.0,20300315,1,True
cf0raw_b20300315_c002,129.4043034841055,270.8615051100966,84.5738154525455,355.7836547439879,1.6899689327977492,1.873054578700592,2.378960253664045,1.639543727789318,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,2,True
cf0raw_b20300315_c003,121.89678376076753,320.9340957360694,228.38536336737403,13.203042818049791,1.6623912685156337,1.7295198528291604,1.7341576408516057,2.3247452919595837,False,True,True,True,0.35,0.0,0.8345069497495918,0.5272211723345701,0.9562655612597328,20300315,3,True
cf0raw_b20300315_c004,206.1414312981208,317.5514964047908,42.96059873771963,251.985518215409,1.9417332091882407,2.2939423158236303,1.786663630775546,2.224219072090957,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,4,True
cf0raw_b20300315_c005,162.6248877039149,274.40283131012063,55.56977440561073,15.476737172894474,1.7820833363930069,1.8004165645914636,2.5066983592330327,2.1438750269538933,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,5,True
cf0raw_b20300315_c006,177.09896273262186,131.9767367522155,243.49613492316354,9.49981995207008,1.8294875482232498,1.5170832995744528,1.8726302871619436,1.9312408929749258,False,False,False,True,0.35,0.0,0.0,0.0,0.6777131739041633,20300315,6,True
cf0raw_b20300315_c007,198.05150263664075,99.749446292187,333.7040300710917,274.42563345728496,1.5828987081503825,2.003967931799136,2.253904242535982,1.9634595958341943,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,7,True
cf0raw_b20300315_c008,181.66888274533636,319.874624392504,128.66667553939436,17.668547775417466,1.644394419949269,2.4628200913451304,2.200518783184783,2.213030359843187,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,8,True
cf0raw_b20300315_c009,215.29566382285415,60.236749697384624,278.9112156945893,157.2950170523938,1.6732946671910272,2.4030429394453225,2.268473707050606,1.5694170996133903,False,False,False,True,0.35,0.0,0.0,0.0,-0.5144445574627374,20300315,9,True
cf0raw_b20300315_c010,202.130182401591,119.58242850348365,38.691392678073775,285.8906263985262,1.6865983854149749,2.3364746160366514,1.5970509228704834,1.7340349952367204,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,10,True
cf0raw_b20300315_c011,163.23292954857203,221.98727853178397,76.9432252842359,35.585367406612086,1.6366325954762935,1.5707160171371093,1.6112427697008667,1.6964461080502047,False,False,True,False,0.35,0.0,0.0,-0.8769523994241923,0.0,20300315,11,True
cf0raw_b20300315_c012,209.40448664097272,95.72981814946769,2.3861775314806,49.67856036746014,1.7082274327279712,2.597227167614744,1.6052207719544218,1.765429739646469,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,12,True
cf0raw_b20300315_c013,165.34574013881445,280.85252481173166,62.356120480291736,329.5087538002184,1.7924392064513361,1.9191953059199742,1.7779130544639266,1.7612404028161903,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,13,True
cf0raw_b20300315_c014,128.1776769823161,220.09319701872386,327.0215842034617,59.13917047202656,1.521841872253784,1.8336019009460747,2.402393354100486,1.55021135364735,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,14,True
cf0raw_b20300315_c015,200.8023407462627,334.0862228344264,289.9667659332816,143.33061833027824,1.9849252197757794,1.8224554820799799,2.080032878449194,2.4560702194519854,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,15,True
cf0raw_b20300315_c016,215.34913406091334,114.75810583599717,352.0137415249608,264.4878304295842,1.8812320264285276,1.5368836189807011,1.7060411229787609,2.4438813124749323,False,True,False,False,0.35,0.0,0.481656307071739,0.0,0.0,20300315,16,True
cf0raw_b20300315_c017,219.15654515202874,96.74014703745401,27.270110035491435,336.6604978242161,1.9990576851628712,1.6792165918555384,2.243903698057988,1.6949383980701893,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,17,True
cf0raw_b20300315_c018,133.38726249428794,335.50620924626895,255.05665691969415,48.945199258276304,1.6265658104679366,1.504943031988933,2.546526581190635,2.3301939507913283,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,18,True
cf0raw_b20300315_c019,167.866046709085,267.09766992191135,47.24248559674056,345.9676176327593,1.9986242141505477,2.5478170881507722,1.5478678166928577,1.5972477875792066,False,False,True,False,0.35,0.0,0.0,0.6338754834025295,0.0,20300315,19,True
cf0raw_b20300315_c020,136.61605269638522,222.15074584725846,68.93524358250274,182.0088867058438,1.8212969616161496,2.0781995784980904,1.80383152474485,1.6924463583453453,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,20,True
cf0raw_b20300315_c021,176.13075115698342,297.8666516088307,245.81538950043642,10.84169678768371,1.835960129578256,1.5619550910638622,2.560749267979705,1.600704534220749,False,False,False,True,0.35,0.0,0.0,0.0,-0.3731339612613189,20300315,21,True
cf0raw_b20300315_c022,180.91583269840208,125.41026933938292,83.07589827068196,268.0197223556076,1.9727563445188192,2.369469426332267,1.8515042413269578,2.41005588529905,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,22,True
cf0raw_b20300315_c023,200.12758190217338,132.84432368009195,248.59876096811988,84.5086976450305,1.702332052381994,2.2276840959734834,2.0623351586231546,2.204596491040603,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,23,True
cf0raw_b20300315_c024,179.0901298450209,136.96289678870065,223.1479198452024,89.72003521760783,1.9999270146359438,1.595159160274469,2.0257304221405943,2.5272634584726634,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,24,True
cf0raw_b20300315_c025,236.127473605455,172.31639938853763,67.00524804499094,109.61612870185526,1.5878159920121004,1.8069986997374012,2.5636554462113677,1.8002084860909293,False,True,False,True,0.35,0.0,0.42129626575943835,0.0,-0.3506755194123774,20300315,25,True
cf0raw_b20300315_c026,161.808478863273,291.8897432282379,20.171729453572954,99.05063376390001,1.9904881491730329,2.06541757500151,1.6867436429543023,1.725337502079015,False,False,False,True,0.35,0.0,0.0,0.0,-0.15367129745259533,20300315,26,True
cf0raw_b20300315_c027,164.4520457249135,256.7422030062598,81.66443786330449,3.0486984010845886,1.8545337568408455,1.709128578531025,1.541891787794013,1.700944256028788,False,False,True,False,0.35,0.0,0.0,-0.08483207829882056,0.0,20300315,27,True
cf0raw_b20300315_c028,209.20227905296696,63.53643150465282,117.56613269703917,251.35797777396624,1.6531642500909527,2.2359831288928635,1.9370450361560279,2.1726694166942693,False,True,False,True,0.35,0.0,-0.22294348871276792,0.0,-0.8453830040825432,20300315,28,True
cf0raw_b20300315_c029,235.25018664038302,71.78516779788436,149.82815923614524,283.41078413852824,1.7816085501513697,1.5664153686571092,2.2340960904471476,2.224185292132657,False,True,False,True,0.35,0.0,-0.7101701849602491,0.0,-0.6247236655182573,20300315,29,True
cf0raw_b20300315_c030,200.75683180603986,117.1120522002932,255.0395181403184,32.95587083422208,1.5587775639788521,2.263773686758112,2.01367121868193,1.6732804561748524,False,True,False,True,0.35,0.0,-0.8590368084533775,0.0,-0.3737055526559512,20300315,30,True
cf0raw_b20300315_c031,197.11142874706758,97.61718757297585,349.54677104041883,146.91101564877553,1.7209639201019555,1.5245527998570307,1.9169977991576166,2.057492996196088,False,False,True,False,0.35,0.0,0.0,0.26918501642606874,0.0,20300315,31,True
cf0raw_b20300315_c032,158.65962614941807,254.18420359120012,32.786708253635496,346.20617046200914,1.5225358471418309,2.0532043349171003,1.7009424446883812,1.6595899093214435,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,32,True
cf0raw_b20300315_c033,221.33478579884837,68.73462253081124,331.88422943325094,288.78535276168606,1.6709382524871466,2.22827028475016,1.598960557922841,2.3118709180643666,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,33,True
cf0raw_b20300315_c034,187.44084794022922,114.33781648446848,244.25091072101938,286.9372154613085,1.858225757109277,1.8461051086843945,1.6741615665447669,2.042700614801748,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,34,True
cf0raw_b20300315_c035,233.45269252678597,44.54366056196521,109.18847435883882,326.5186189312142,1.8506075139995342,1.5278068933889732,2.0299239885141227,2.5936841384188054,False,False,False,False,0.35,0.0,0.0,0.0,0.0,20300315,35,True
