config_id,theta_S1,theta_S2,theta_S3,theta_S4,h_S1,h_S2,h_S3,h_S4,curved_S2,curved_S3,curved_S4,P_S2,P_S3,P_S4,L_S2,L_S3,L_S4,rank_P_S2,rank_P_S3,rank_P_S4,rank_L_S2,rank_L_S3,rank_L_S4,k_P_star,k_V_star,kendall_tau,spearman_rho,omega_top,E1,E2,E3,E4,E5,E6,eligible
m1d_b20260827_c000,141.66362018618284,314.7157956539067,73.49193262692648,11.387006538556275,1.884922114327688,2.462522340923709,1.7671454133352618,2.3112338912614594,0,1,0,0.005634020785329718,0.02313334966703122,0.010417944390125057,6.654136867705446,0.034041155547057174,4.797536276711555,3,1,2,1,3,2,S3,S2,-1.0,-1.0,0.5793402738327096,1,1,1,1,1,1,1
m1d_b20260827_c001,137.64443923920612,345.0810586757269,274.1625030305114,87.1737012908423,1.979043086892589,2.078088904370156,2.4647335885265287,1.5632829858367985,1,0,0,0.010453392827904695,0.006834520772196712,0.05929772249071285,8.41189658118733,7.635365804170468,0.12003348535431725,2,3,1,1,2,3,S4,S2,-0.3333333333333333,-0.5,0.5203032497491379,1,1,1,1,1,1,1
m1d_b20260827_c002,157.8554571574063,252.22312239544402,317.151851394314,40.52398447152031,1.7333900843884105,2.596928001333593,1.6661758674379497,1.696220636483104,0,0,0,0.003189235956721018,0.0441960056605403,0.04533653292097817,0.014561527559965384,7.6893473997815605,3.7161760702592,3,2,1,3,1,2,S4,S3,0.3333333333333333,0.5,0.6733178782291932,1,1,1,0,1,1,0
m1d_b20260827_c003,174.40879927982786,300.8525349178932,114.432669556934,22.73341395175664,1.724843681779957,1.6933585663930988,1.8445788205984124,1.9029569877099912,0,0,0,0.04267655412821607,0.03191306689330006,0.02858308933521202,2.8688585669013467,0.0455570611947327,6.87176321542533,1,2,3,2,3,1,S2,S4,-0.3333333333333333,-0.5,0.7021906430797078,1,1,1,0,1,1,0
m1d_b20260827_c004,145.25613464100022,94.22279237087037,288.5935753296468,46.64767560921957,1.9202955677585216,1.57860511815281,1.8855077187069411,2.155598364640572,0,1,0,0.04849125899467588,0.013649890348091423,0.015506890919715091,0.041578353658096236,10.596096199200597,1.239305961802698,1,3,2,3,1,2,S2,S3,-1.0,-1.0,0.8921540442135422,1,1,1,1,1,1,1
m1d_b20260827_c005,185.16202244960516,233.44117875202022,18.521406441524228,295.5625114909699,1.752658657133974,1.6467203418413259,1.8267608915082347,1.7283524874711291,0,0,0,0.04000366764734317,0.03155163304142097,0.041836593206852436,0.018617715336616946,8.229712430691784,2.828075150033497,2,3,1,3,1,2,S4,S3,-0.3333333333333333,-0.5,0.7429948806241112,1,1,1,0,1,1,0
m1d_b20260827_c006,234.46687672203507,337.86339379651855,192.5333717300625,102.27432544858176,1.7561212711995724,1.8321081819094749,1.7196855578763393,2.07804722260446,1,0,1,0.01992582485084643,0.04251130369272709,0.01052857848870974,0.5905371297699539,0.025587332859612424,1.153646711392493,2,1,3,2,3,1,S3,S4,-1.0,-1.0,0.6518620759149699,1,1,1,1,1,1,1
m1d_b20260827_c007,222.52883236903762,169.28398551330605,301.7209412901344,87.66668240801515,1.7645504360583302,1.9593890467068447,1.7567207851852662,2.1095623946565896,0,1,1,0.024670971219294142,0.024068260110475997,0.007516934430359774,0.02187534977151748,0.11621924356106438,0.7253201951300343,1,2,3,3,2,1,S2,S4,-1.0,-1.0,0.8400599628615684,1,1,1,1,1,1,1
m1d_b20260827_c008,138.14067319896336,209.61882797688648,332.9874501783024,66.97550224871338,1.6565257192955456,2.0303882102745816,1.5467730442048004,2.2193573653617884,0,0,0,0.02101570891680111,0.06020281152395222,0.013202997794364206,0.08007550414393405,8.07624119102817,0.045444981646417124,2,1,3,2,1,3,S3,S3,1.0,1.0,0.984695911593588,1,1,0,0,1,0,0
m1d_b20260827_c009,230.91792846429297,332.3582467727515,66.9243443044417,109.12699730107673,1.7483667590007705,2.168673488902757,1.6420135393994477,2.0744975141328545,0,0,1,0.01461328288120661,0.041865973727507805,0.01118661375396578,0.4011476425973181,9.913277901117413,1.0827816696448835,2,1,3,3,1,2,S3,S3,0.3333333333333333,0.5,0.8697988652428145,1,1,0,0,1,1,0
