state_id,discovery_class,confirmation_class,transition
c020_s2_00160,WIDEN,WIDEN,WIDEN->WIDEN
c020_s2_00125,WIDEN,WIDEN,WIDEN->WIDEN
c020_s2_00200,WIDEN,WIDEN,WIDEN->WIDEN
c010_s2_00160,WIDEN,WIDEN,WIDEN->WIDEN
c000_s2_00160,WIDEN,WIDEN,WIDEN->WIDEN
c010_s2_00125,WIDEN,WIDEN,WIDEN->WIDEN
c001_s2_00250,WIDEN,WIDEN,WIDEN->WIDEN
c004_s2_00200,WIDEN,WIDEN,WIDEN->WIDEN
c010_s2_00200,WIDEN,WIDEN,WIDEN->WIDEN
c001_s2_00200,WIDEN,WIDEN,WIDEN->WIDEN
c010_s2_00250,WIDEN,WIDEN,WIDEN->WIDEN
c020_s2_00250,WIDEN,WIDEN,WIDEN->WIDEN
c001_s2_00400,HOLD,HOLD,HOLD->HOLD
c007_s2_00125,HOLD,HOLD,HOLD->HOLD
c006_s2_00125,HOLD,AMBIGUOUS,HOLD->AMBIGUOUS
c010_s2_00500,HOLD,HOLD,HOLD->HOLD
c006_s2_00800,HOLD,AMBIGUOUS,HOLD->AMBIGUOUS
c020_s2_00800,SHRINK,SHRINK,SHRINK->SHRINK
c000_s2_00640,SHRINK,SHRINK,SHRINK->SHRINK
c000_s2_00500,SHRINK,SHRINK,SHRINK->SHRINK
c001_s2_00800,SHRINK,SHRINK,SHRINK->SHRINK
c000_s2_00400,SHRINK,SHRINK,SHRINK->SHRINK
c000_s2_00800,SHRINK,SHRINK,SHRINK->SHRINK
c020_s2_00640,SHRINK,SHRINK,SHRINK->SHRINK
c001_s2_00640,SHRINK,SHRINK,SHRINK->SHRINK
c010_s2_00800,SHRINK,SHRINK,SHRINK->SHRINK
c004_s2_00800,SHRINK,SHRINK,SHRINK->SHRINK
