candidate_index,config_id,state_id,s2,candidate_stratum,corrected_class,class_certainty_score,probability_semantics_valid,reference_action_class_valid,minimum_arm_ESS,p_ref_full,P_base,P_widen,P_shrink,M2_base,M2_widen,M2_shrink,ambiguity_or_invalid_reason
0,m1d_b20260827_c000,c000_s2_00125,1.25,G-W,AMBIGUOUS,,True,False,6626.382678683586,0.067063,0.0678458791815841,0.06746759868596655,0.06823052259180698,0.04214650486135218,0.035440672540748,0.07025558949571468,unsupported_required_contrast
1,m1d_b20260827_c000,c000_s2_00160,1.6,G-W,WIDEN,2.7272011257805513,True,True,11783.508113803118,0.067063,0.06749456984646537,0.06724745125518054,0.06733136832223101,0.035142745806290746,0.03238459327096973,0.03847337411202194,
2,m1d_b20260827_c000,c000_s2_00200,2.0,G-W,WIDEN,1.862144956344911,True,True,13342.675022857316,0.067063,0.06746187892266642,0.06714829269675429,0.0674578397216393,0.03210902805527541,0.030266733884664648,0.0341053059608723,
3,m1d_b20260827_c000,c000_s2_00250,2.5,G-H,AMBIGUOUS,,True,False,14469.073537743645,0.067063,0.06650388095545473,0.06641754242401486,0.06680045457489629,0.029308383437736923,0.02927825361377178,0.030840265755596185,no_unique_preregistered_class
4,m1d_b20260827_c000,c000_s2_00320,3.2,G-H,AMBIGUOUS,,True,False,14580.425114521515,0.067063,0.06644272831522122,0.0664064019412673,0.0659889660991404,0.030186937217096737,0.030244730068900095,0.029570504635938993,unsupported_required_contrast
5,m1d_b20260827_c000,c000_s2_00400,4.0,G-H,SHRINK,1.538906828875511,True,True,13971.946662527034,0.067063,0.0674383279144972,0.06756515364132497,0.06701784005808162,0.03138562125988711,0.03267297032287834,0.030126311967230375,
6,m1d_b20260827_c000,c000_s2_00500,5.0,G-S,SHRINK,1.554830899942949,True,True,13223.909288688104,0.067063,0.06686236432126992,0.0672953734847272,0.06691091422237627,0.03176991386002497,0.0342460553349591,0.030603998521355324,
7,m1d_b20260827_c000,c000_s2_00640,6.4,G-S,SHRINK,1.9695174322750901,True,True,12532.01456335261,0.067063,0.06706531614854873,0.06697637860563872,0.0669899344203694,0.03383637973621763,0.03579500541153052,0.031784341981341155,
8,m1d_b20260827_c000,c000_s2_00800,8.0,G-S,SHRINK,1.4290248196612834,True,True,11280.358233927667,0.067063,0.06739973603662627,0.06698177897411009,0.06787028857639202,0.03756700068832886,0.03977319355906996,0.03599232620138301,
9,m1d_b20260827_c001,c001_s2_00125,1.25,G-W,AMBIGUOUS,,True,False,5768.071041440996,0.089218,0.08714556678669358,0.08802851923637375,0.08711670024508239,0.10110632518085219,0.08623565367300745,0.13157465306972976,unsupported_required_contrast
10,m1d_b20260827_c001,c001_s2_00160,1.6,G-W,AMBIGUOUS,,True,False,6543.320200857626,0.089218,0.08880339888531166,0.08875211405340915,0.08782384860582369,0.09365621453303488,0.0732618613087343,0.11787637082054614,unsupported_required_contrast
11,m1d_b20260827_c001,c001_s2_00200,2.0,G-W,WIDEN,2.029129298058814,True,True,8987.672903826493,0.089218,0.08844409327761678,0.08842372493258077,0.08840197117761646,0.07303255122631067,0.06370091452633067,0.08695141213651579,
12,m1d_b20260827_c001,c001_s2_00250,2.5,G-H,WIDEN,2.2411021933115203,True,True,11158.855211753198,0.089218,0.0902643433137695,0.09028113633770032,0.09016325421375254,0.06496934252506507,0.06069116946303368,0.07285167032054832,
13,m1d_b20260827_c001,c001_s2_00320,3.2,G-H,AMBIGUOUS,,True,False,12902.232739500472,0.089218,0.09095351734881117,0.09095414626591733,0.0912205222837187,0.06133231510533684,0.06045755063824335,0.06449413720649241,unsupported_required_contrast
14,m1d_b20260827_c001,c001_s2_00400,4.0,G-H,HOLD,0.7022399700565609,True,True,13204.679534990843,0.089218,0.08979203050153119,0.0896294581470824,0.08969050869978232,0.060299183944374765,0.06083782454888002,0.0606330631025024,
15,m1d_b20260827_c001,c001_s2_00500,5.0,G-S,AMBIGUOUS,,True,False,12638.244298276228,0.089218,0.08910334585389251,0.08906435456656346,0.08912510498522026,0.06025279066250795,0.06276551605700856,0.05922164998948063,unsupported_required_contrast
16,m1d_b20260827_c001,c001_s2_00640,6.4,G-S,SHRINK,1.0228380962178767,True,True,11988.48951799362,0.089218,0.08990100761368072,0.09065434133749584,0.09034146866202661,0.06364735452022283,0.06855083445667139,0.062077246930448006,
17,m1d_b20260827_c001,c001_s2_00800,8.0,G-S,SHRINK,1.5546208703304651,True,True,11083.108699810056,0.089218,0.08883314897546057,0.08864359463194105,0.08898231847800532,0.06633109325152595,0.07089785981623146,0.06334480096761078,
18,m1d_b20260827_c004,c004_s2_00125,1.25,G-W,WIDEN,1.5609038779110609,True,True,2594.0403362709126,0.09350000000000001,0.09555283134383544,0.09498751514418442,0.09513947622668636,0.2745712355923481,0.19651322188564263,0.3489352039028167,
19,m1d_b20260827_c004,c004_s2_00160,1.6,G-W,WIDEN,1.8410583595781447,True,True,3837.496883722365,0.09350000000000001,0.09445714007516844,0.09356477850805969,0.09366467978329611,0.18115626824201367,0.13847626115186473,0.22861444594575236,
20,m1d_b20260827_c004,c004_s2_00200,2.0,G-W,WIDEN,2.2220737527339463,True,True,5184.8433723661465,0.09350000000000001,0.09082553242562307,0.0908883884208559,0.09245021700244503,0.12497288612886329,0.10896501455408743,0.16484668889619056,
21,m1d_b20260827_c004,c004_s2_00250,2.5,G-H,WIDEN,1.7201129544721445,True,True,6568.781607219635,0.09350000000000001,0.09279550455943428,0.09293781054743835,0.09328138270824307,0.1123666646131987,0.10174459524840622,0.13246621489741922,
22,m1d_b20260827_c004,c004_s2_00320,3.2,G-H,WIDEN,1.9503133348115271,True,True,7627.8420240529185,0.09350000000000001,0.09359296172272628,0.09336293593251331,0.09375099578158581,0.10192555131394918,0.09465161220454803,0.11522589458884609,
23,m1d_b20260827_c004,c004_s2_00400,4.0,G-H,AMBIGUOUS,,True,False,8726.616036141491,0.09350000000000001,0.0952067547235248,0.09406536866177771,0.09397732013748848,0.09801636734962677,0.09004593394542451,0.10120459825030856,unsupported_required_contrast
24,m1d_b20260827_c004,c004_s2_00500,5.0,G-S,AMBIGUOUS,,True,False,9228.27583292397,0.09350000000000001,0.09400493754596709,0.09361600382346429,0.09434170156035808,0.09152214547698043,0.08977460055346506,0.09644658237836398,unsupported_required_contrast
25,m1d_b20260827_c004,c004_s2_00640,6.4,G-S,AMBIGUOUS,,True,False,9387.545841469479,0.09350000000000001,0.09276525076677251,0.0937575723852681,0.09319531761490582,0.08866555347112837,0.09363983439363713,0.08970494741400194,no_unique_preregistered_class
26,m1d_b20260827_c004,c004_s2_00800,8.0,G-S,SHRINK,1.0221194846388952,True,True,8941.75949333492,0.09350000000000001,0.09327727865142289,0.0932830991079445,0.09322499008154506,0.09283177989127796,0.0973157082302288,0.08987253999143492,
27,m1d_b20260827_c006,c006_s2_00125,1.25,G-W,HOLD,0.0616878215408336,True,True,2143.5294562024715,0.09542,0.09398573883097285,0.09404707109453347,0.0944500884397118,0.40478002242929,0.41135364492930304,0.41617432316856134,
28,m1d_b20260827_c006,c006_s2_00160,1.6,G-W,AMBIGUOUS,,True,False,2020.1232868751833,0.09542,0.09449070588619124,0.0942783826280021,0.0939804905881538,0.429710435399188,0.3666807951203151,0.4372175039302829,unsupported_required_contrast
29,m1d_b20260827_c006,c006_s2_00200,2.0,G-W,AMBIGUOUS,,True,False,2239.126785086488,0.09542,0.09320000208905385,0.09233473477827463,0.09210025757872295,0.3879298147498213,0.3272327724105443,0.3446728391753853,unsupported_required_contrast
30,m1d_b20260827_c006,c006_s2_00250,2.5,G-H,AMBIGUOUS,,True,False,2042.1225454516607,0.09542,0.09496752179328766,0.09507408205689225,0.0950542344452951,0.39771094018281344,0.3665703327732427,0.4424468798948971,unsupported_required_contrast
31,m1d_b20260827_c006,c006_s2_00320,3.2,G-H,AMBIGUOUS,,True,False,2012.093444813056,0.09542,0.09527352168111317,0.09531408575333603,0.09613837035804182,0.39367621363652583,0.3700715316550359,0.4593517402944844,unsupported_required_contrast
32,m1d_b20260827_c006,c006_s2_00400,4.0,G-H,AMBIGUOUS,,True,False,2560.2722624669987,0.09542,0.09631404958198823,0.0974081315448536,0.0978116292449442,0.3224856781621228,0.338310684815811,0.3736756811297815,no_unique_preregistered_class
33,m1d_b20260827_c006,c006_s2_00500,5.0,G-S,AMBIGUOUS,,True,False,2682.3635016394114,0.09542,0.09504258570510378,0.09358608055461863,0.0946025220230962,0.33248312653005063,0.2958740858853805,0.3336474406865642,unsupported_required_contrast
34,m1d_b20260827_c006,c006_s2_00640,6.4,G-S,AMBIGUOUS,,True,False,2688.955263977373,0.09542,0.09774397481425233,0.09887133182940422,0.0979509590135049,0.3349443121867554,0.36354417601059874,0.3351600593882701,no_unique_preregistered_class
35,m1d_b20260827_c006,c006_s2_00800,8.0,G-S,HOLD,0.011014212259277678,True,True,2735.0082886334017,0.09542,0.09643137208294149,0.09603651246193733,0.09693019797710514,0.32750371767445224,0.33722061334082076,0.3253717499522175,
36,m1d_b20260827_c007,c007_s2_00125,1.25,G-W,HOLD,0.6754482035152378,True,True,4126.163840872062,0.08674899999999999,0.08819146557111347,0.08806609066266144,0.08823922784041985,0.1884979583829874,0.18666263785218015,0.18858788288888,
37,m1d_b20260827_c007,c007_s2_00160,1.6,G-W,AMBIGUOUS,,True,False,4218.244404133419,0.08674899999999999,0.08608848367262827,0.08599696910950522,0.08626491164795295,0.17335737248834296,0.16521212333671273,0.1764154531761398,unsupported_required_contrast
38,m1d_b20260827_c007,c007_s2_00200,2.0,G-W,AMBIGUOUS,,True,False,5544.433875464151,0.08674899999999999,0.08464459035264851,0.0848383208626942,0.08482891560561327,0.12236062382525259,0.12981561054687327,0.12284297970841482,no_unique_preregistered_class
