candidate_index,state_id,config_id,s2,original_stratum,discovery_class,confirmation_class,widen_ratio_over_base,shrink_ratio_over_base,widen_minus_base_m2,widen_paired_se,widen_support_ratio_abs_delta_over_2se,shrink_minus_base_m2,shrink_paired_se,shrink_support_ratio_abs_delta_over_2se,widen_support,shrink_support,direction_margin,discovery_ambiguity_reason,confirmation_ambiguity_reason,p_ref_full,p_ref_full_se,minimum_arm_ess,hold_proximity_score_diagnostic_only
0,c000_s2_00125,m1d_b20260827_c000,1.25,G-W,AMBIGUOUS,,-0.1591076731668286,0.6669375011482432,-0.00670583232060418,0.0019271059556722682,1.7398712045038696,0.028109084634362506,0.017848524443143814,0.7874344101638077,True,False,0.9823435747427802,unsupported_required_contrast,,0.067063,0.00026542230501598764,6626.382678683586,0.6669375011482432
1,c000_s2_00160,m1d_b20260827_c000,1.6,G-W,WIDEN,WIDEN,-0.0784842638797818,0.09477427643502434,-0.002758152535321025,0.0005056745740620093,2.7272011257805513,0.0033306283057311864,0.0005434219782088812,3.0644954007095344,True,True,0.18801473867854093,,,0.067063,0.00026542230501598764,11783.508113803118,0.09477427643502434
2,c000_s2_00200,m1d_b20260827_c000,2.0,G-W,WIDEN,,-0.05737620483059369,0.0621718571537051,-0.0018422941706107622,0.0004946699139434578,1.862144956344911,0.0019962779055968847,0.00027884412064213646,3.579558896561552,True,True,0.12682478693720423,,,0.067063,0.00026542230501598764,13342.675022857316,0.0621718571537051
3,c000_s2_00250,m1d_b20260827_c000,2.5,G-H,AMBIGUOUS,,-0.0010280274935378086,0.05226771790786788,-3.0129823965147247e-05,0.00042535184809047895,0.0354175303344846,0.0015318823178592606,0.0004280294561502871,1.789458991487487,False,True,-0.0010280274935378494,no_unique_preregistered_class,,0.067063,0.00026542230501598764,14469.073537743645,0.05226771790786788
4,c000_s2_00320,m1d_b20260827_c000,3.2,G-H,AMBIGUOUS,,0.0019144986915275997,-0.020420507609782312,5.779285180335363e-05,0.0003554109156479157,0.08130427240536071,-0.0006164325811577418,0.00039383191513300337,0.7826087189373195,False,False,0.022800606254844587,unsupported_required_contrast,,0.067063,0.00026542230501598764,14580.425114521515,0.020420507609782312
5,c000_s2_00400,m1d_b20260827_c000,4.0,G-H,SHRINK,SHRINK,0.04101716044845505,-0.04012376502695558,0.0012873490629912332,0.0004182673826757619,1.538906828875511,-0.001259309292656724,0.0003413530550806392,1.8445847692197048,True,True,0.08453269548619384,,,0.067063,0.00026542230501598764,13971.946662527034,0.04101716044845505
6,c000_s2_00500,m1d_b20260827_c000,5.0,G-S,SHRINK,SHRINK,0.07793982337641059,-0.03669872520922002,0.00247614147493413,0.0003853973008311489,3.2124530576551478,-0.0011659153386696511,0.00037493316434360533,1.5548308999429492,True,True,0.1190059139188092,,,0.067063,0.00026542230501598764,13223.909288688104,0.07793982337641059
7,c000_s2_00640,m1d_b20260827_c000,6.4,G-S,SHRINK,SHRINK,0.05788520198029423,-0.060645901567300986,0.0019586256753128923,0.0004972349173498768,1.9695174322750906,-0.0020520377548764682,0.00033743587796213206,3.040633626852734,True,True,0.12618362313568765,,,0.067063,0.00026542230501598764,12532.01456335261,0.060645901567300986
8,c000_s2_00800,m1d_b20260827_c000,8.0,G-S,SHRINK,SHRINK,0.05872688344338628,-0.041916428197448896,0.0022061928707410986,0.0005134141877007588,2.148550744790645,-0.001574674486945851,0.0005509612097986831,1.4290248196612831,True,True,0.10504648509052658,,,0.067063,0.00026542230501598764,11280.358233927667,0.05872688344338628
9,c001_s2_00125,m1d_b20260827_c001,1.25,G-W,AMBIGUOUS,,-0.14707953712337074,0.3013493748722236,-0.014870671507844735,0.013893222187646015,0.5351772003282247,0.030468327888877593,0.027564578833365713,0.5526717471916716,False,False,0.5257570096081249,unsupported_required_contrast,,0.089218,0.0002901212087894881,5768.071041440996,0.3013493748722236
