config_id,s2,fraction_log_space,source_s2_left,source_s2_right,source_boundary_type,candidate_id
m1d_b20260827_c000,2.378414230005442,0.25,2.0,4.0,W_AMBIGUOUS_S_PATH,m1d_b20260827_c000_d3_s2_2p37841423001
m1d_b20260827_c000,2.82842712474619,0.5,2.0,4.0,W_AMBIGUOUS_S_PATH,m1d_b20260827_c000_d3_s2_2p82842712475
m1d_b20260827_c000,3.363585661014858,0.75,2.0,4.0,W_AMBIGUOUS_S_PATH,m1d_b20260827_c000_d3_s2_3p36358566101
m1d_b20260827_c001,3.1622776601683795,0.25,2.5,6.4,W_H_S_PATH,m1d_b20260827_c001_d3_s2_3p16227766017
m1d_b20260827_c001,5.059644256269407,0.75,2.5,6.4,W_H_S_PATH,m1d_b20260827_c001_d3_s2_5p05964425627
m1d_b20260827_c004,4.023786974985393,0.25,3.2,8.0,W_AMBIGUOUS_S_PATH,m1d_b20260827_c004_d3_s2_4p02378697499
m1d_b20260827_c004,5.059644256269406,0.5,3.2,8.0,W_AMBIGUOUS_S_PATH,m1d_b20260827_c004_d3_s2_5p05964425627
m1d_b20260827_c004,6.362165830136404,0.75,3.2,8.0,W_AMBIGUOUS_S_PATH,m1d_b20260827_c004_d3_s2_6p36216583014
m1d_b20260827_c010,4.023786974985393,0.25,3.2,8.0,W_H_S_PATH,m1d_b20260827_c010_d3_s2_4p02378697499
m1d_b20260827_c010,5.059644256269406,0.5,3.2,8.0,W_H_S_PATH,m1d_b20260827_c010_d3_s2_5p05964425627
m1d_b20260827_c010,6.362165830136404,0.75,3.2,8.0,W_H_S_PATH,m1d_b20260827_c010_d3_s2_6p36216583014
m1d_b20260827_c020,3.8054627680087076,0.25,3.2,6.4,W_AMBIGUOUS_S_PATH,m1d_b20260827_c020_d3_s2_3p80546276801
m1d_b20260827_c020,4.525483399593904,0.5,3.2,6.4,W_AMBIGUOUS_S_PATH,m1d_b20260827_c020_d3_s2_4p52548339959
m1d_b20260827_c020,5.3817370576237735,0.75,3.2,6.4,W_AMBIGUOUS_S_PATH,m1d_b20260827_c020_d3_s2_5p38173705762
