candidate_index,state_id,config_id,left_bracket_s2,right_bracket_s2,interpolation_fraction,generated_s2,dedup_status,source_bracket_type
0,m1d_b20260827_c000_d3_s2_2p37841423001,m1d_b20260827_c000,2.0,4.0,0.25,2.378414230005442,NEW_UNIQUE,W_AMBIGUOUS_S_PATH
1,m1d_b20260827_c000_d3_s2_2p82842712475,m1d_b20260827_c000,2.0,4.0,0.5,2.82842712474619,NEW_UNIQUE,W_AMBIGUOUS_S_PATH
2,m1d_b20260827_c000_d3_s2_3p36358566101,m1d_b20260827_c000,2.0,4.0,0.75,3.363585661014858,NEW_UNIQUE,W_AMBIGUOUS_S_PATH
3,m1d_b20260827_c001_d3_s2_3p16227766017,m1d_b20260827_c001,2.5,6.4,0.25,3.1622776601683795,NEW_UNIQUE,W_H_S_PATH
4,m1d_b20260827_c001_d3_s2_5p05964425627,m1d_b20260827_c001,2.5,6.4,0.75,5.059644256269407,NEW_UNIQUE,W_H_S_PATH
5,m1d_b20260827_c004_d3_s2_4p02378697499,m1d_b20260827_c004,3.2,8.0,0.25,4.023786974985393,NEW_UNIQUE,W_AMBIGUOUS_S_PATH
6,m1d_b20260827_c004_d3_s2_5p05964425627,m1d_b20260827_c004,3.2,8.0,0.5,5.059644256269406,NEW_UNIQUE,W_AMBIGUOUS_S_PATH
7,m1d_b20260827_c004_d3_s2_6p36216583014,m1d_b20260827_c004,3.2,8.0,0.75,6.362165830136404,NEW_UNIQUE,W_AMBIGUOUS_S_PATH
8,m1d_b20260827_c010_d3_s2_4p02378697499,m1d_b20260827_c010,3.2,8.0,0.25,4.023786974985393,NEW_UNIQUE,W_H_S_PATH
9,m1d_b20260827_c010_d3_s2_5p05964425627,m1d_b20260827_c010,3.2,8.0,0.5,5.059644256269406,NEW_UNIQUE,W_H_S_PATH
10,m1d_b20260827_c010_d3_s2_6p36216583014,m1d_b20260827_c010,3.2,8.0,0.75,6.362165830136404,NEW_UNIQUE,W_H_S_PATH
11,m1d_b20260827_c020_d3_s2_3p80546276801,m1d_b20260827_c020,3.2,6.4,0.25,3.8054627680087076,NEW_UNIQUE,W_AMBIGUOUS_S_PATH
12,m1d_b20260827_c020_d3_s2_4p52548339959,m1d_b20260827_c020,3.2,6.4,0.5,4.525483399593904,NEW_UNIQUE,W_AMBIGUOUS_S_PATH
13,m1d_b20260827_c020_d3_s2_5p38173705762,m1d_b20260827_c020,3.2,6.4,0.75,5.3817370576237735,NEW_UNIQUE,W_AMBIGUOUS_S_PATH
