state_id,config_id,s2,interpolation_fraction,source_bracket_type,corrected_class,r_w,r_s,hold_proximity_score,paired_support_margin,minimum_arm_ESS,ambiguity_or_invalid_reason
m1d_b20260827_c000_d3_s2_2p37841423001,m1d_b20260827_c000,2.378414230005442,0.25,W_AMBIGUOUS_S_PATH,AMBIGUOUS,-0.003486788152643583,0.03758050858245188,0.03758050858245188,0.1267324105458841,14128.956559378359,no_unique_preregistered_class
m1d_b20260827_c000_d3_s2_2p82842712475,m1d_b20260827_c000,2.82842712474619,0.5,W_AMBIGUOUS_S_PATH,HOLD,-0.0013430827900823283,0.017934013740088517,0.017934013740088517,0.05294031805356493,14603.963915155487,
m1d_b20260827_c000_d3_s2_3p36358566101,m1d_b20260827_c000,3.363585661014858,0.75,W_AMBIGUOUS_S_PATH,AMBIGUOUS,0.04070351938410233,-0.0011021755172238024,0.04070351938410233,0.04141694011468861,14319.298108552131,no_unique_preregistered_class
m1d_b20260827_c001_d3_s2_3p16227766017,m1d_b20260827_c001,3.1622776601683795,0.25,W_H_S_PATH,AMBIGUOUS,-0.006507089300693658,0.05443717578880514,0.05443717578880514,0.24684388549437164,12900.872043265916,no_unique_preregistered_class
m1d_b20260827_c001_d3_s2_5p05964425627,m1d_b20260827_c001,5.059644256269407,0.75,W_H_S_PATH,SHRINK,0.041369698702090396,-0.03100636412613511,0.041369698702090396,1.3943325396158857,12757.88957324228,
m1d_b20260827_c004_d3_s2_4p02378697499,m1d_b20260827_c004,4.023786974985393,0.25,W_AMBIGUOUS_S_PATH,WIDEN,-0.077276421516014,0.058174178569034396,0.077276421516014,1.3919911118806494,8639.673103377203,
m1d_b20260827_c004_d3_s2_5p05964425627,m1d_b20260827_c004,5.059644256269406,0.5,W_AMBIGUOUS_S_PATH,AMBIGUOUS,-0.005317265531419424,0.053333189135022385,0.053333189135022385,0.10962743943819481,9477.031168979032,no_unique_preregistered_class
m1d_b20260827_c004_d3_s2_6p36216583014,m1d_b20260827_c004,6.362165830136404,0.75,W_AMBIGUOUS_S_PATH,AMBIGUOUS,0.036174230442671096,-0.026313868908750204,0.036174230442671096,0.7740153929571496,9561.46551249486,unsupported_required_contrast
m1d_b20260827_c010_d3_s2_4p02378697499,m1d_b20260827_c010,4.023786974985393,0.25,W_H_S_PATH,AMBIGUOUS,-0.0346652432619049,0.01427240047439704,0.0346652432619049,0.4021429896231504,10787.125995827646,unsupported_required_contrast
m1d_b20260827_c010_d3_s2_5p05964425627,m1d_b20260827_c010,5.059644256269406,0.5,W_H_S_PATH,AMBIGUOUS,0.006922181247830617,0.031123449382885582,0.031123449382885582,0.21763975617722153,11476.881022611813,no_unique_preregistered_class
m1d_b20260827_c010_d3_s2_6p36216583014,m1d_b20260827_c010,6.362165830136404,0.75,W_H_S_PATH,AMBIGUOUS,0.024731960672244035,-0.024966203566019196,0.024966203566019196,0.6465296654475707,11652.91084236324,unsupported_required_contrast
m1d_b20260827_c020_d3_s2_3p80546276801,m1d_b20260827_c020,3.8054627680087076,0.25,W_AMBIGUOUS_S_PATH,AMBIGUOUS,-0.011847042378554162,0.024829108713054326,0.024829108713054326,0.4572496341128298,11534.901714931848,unsupported_required_contrast
m1d_b20260827_c020_d3_s2_4p52548339959,m1d_b20260827_c020,4.525483399593904,0.5,W_AMBIGUOUS_S_PATH,HOLD,0.028650307972128974,0.006712114158387683,0.028650307972128974,0.27418311310078747,11332.944222401411,
m1d_b20260827_c020_d3_s2_5p38173705762,m1d_b20260827_c020,5.3817370576237735,0.75,W_AMBIGUOUS_S_PATH,AMBIGUOUS,0.034464948699830966,-0.026379655492259513,0.034464948699830966,0.8723038683417288,10712.273462800058,unsupported_required_contrast
