state_id,class,config_id,s2,candidate_stratum,confirmation_support,r_w,r_s,selection_rank,selection_reason,selected
c020_s2_00125,WIDEN,m1d_b20260827_c020,1.25,G-W,7.895075085487496,-0.1464791590692449,0.19045139723959204,1,new config coverage; support=7.89508; |effect|=0.146479,True
c010_s2_00250,WIDEN,m1d_b20260827_c010,2.5,G-H,4.163850880433365,-0.08680341779637091,0.10331730184449506,2,new config coverage; support=4.16385; |effect|=0.0868034,True
c004_s2_00200,WIDEN,m1d_b20260827_c004,2.0,G-W,3.935707398027376,-0.11815724465808741,0.21437670358102556,3,new config coverage; support=3.93571; |effect|=0.118157,True
c000_s2_00160,WIDEN,m1d_b20260827_c000,1.6,G-W,3.899744315101791,-0.06542492754623053,0.11680526374564115,4,new config coverage; support=3.89974; |effect|=0.0654249,True
c001_s2_00200,WIDEN,m1d_b20260827_c001,2.0,G-W,3.856604527431983,-0.10697747127718393,0.22330782267808025,5,new config coverage; support=3.8566; |effect|=0.106977,True
c020_s2_00160,WIDEN,m1d_b20260827_c020,1.6,G-W,6.249108857893307,-0.11661726844165954,0.15940047419290093,6,s2 spacing from selected states; support=6.24911; |effect|=0.116617,True
c010_s2_00125,WIDEN,m1d_b20260827_c010,1.25,G-W,6.196345114081621,-0.14081752196813802,0.17463316784745908,7,s2 spacing from selected states; support=6.19635; |effect|=0.140818,True
c010_s2_00160,WIDEN,m1d_b20260827_c010,1.6,G-W,5.911114778700151,-0.14215662910449645,0.17083273852530367,8,s2 spacing from selected states; support=5.91111; |effect|=0.142157,True
c020_s2_00800,SHRINK,m1d_b20260827_c020,8.0,G-S,3.0475377988060406,0.09190922849773941,-0.052472122593238746,1,new config coverage; support=3.04754; |effect|=0.0524721,True
c000_s2_00400,SHRINK,m1d_b20260827_c000,4.0,G-H,0.4549867646581504,0.03516975216707885,-0.014549867646581505,2,new config coverage; support=0.454987; |effect|=0.0145499,True
c001_s2_00640,SHRINK,m1d_b20260827_c001,6.4,G-S,1.7669283445174366,0.045682277833256846,-0.03920088192265392,3,new config coverage; support=1.76693; |effect|=0.0392009,True
c004_s2_00800,SHRINK,m1d_b20260827_c004,8.0,G-S,1.5924511823908445,0.05436810454290497,-0.030162463604151868,4,new config coverage; support=1.59245; |effect|=0.0301625,True
c010_s2_00800,SHRINK,m1d_b20260827_c010,8.0,G-S,1.2699690155517642,0.03721272057737135,-0.024716284429937563,5,new config coverage; support=1.26997; |effect|=0.0247163,True
c000_s2_00500,SHRINK,m1d_b20260827_c000,5.0,G-S,1.805101412564807,0.05528594343724946,-0.03207426237498778,6,s2 spacing from selected states; support=1.8051; |effect|=0.0320743,True
c000_s2_00800,SHRINK,m1d_b20260827_c000,8.0,G-S,3.0126776062449916,0.06901725920549517,-0.07093187720546335,7,s2 spacing from selected states; support=3.01268; |effect|=0.0709319,True
c000_s2_00640,SHRINK,m1d_b20260827_c000,6.4,G-S,2.864105749318755,0.08084393156983305,-0.054549569162977374,8,s2 spacing from selected states; support=2.86411; |effect|=0.0545496,True
