ambiguity_reason,class,config_id,confirmation_ambiguity_reason,confirmation_direction_margin,confirmation_paired_se,confirmation_paired_support,confirmation_r_s,confirmation_r_w,confirmation_status,confirmed_class,d3_class,direction_margin,discovery_class,hold_proximity_score,independent_confirmation_flag,m3d_class,minimum_arm_ess,paired_se,paired_support,r_s,r_w,s2,selected_mode,stage,state_id
,WIDEN,m1d_b20260827_c000,,,,,,,REFERENCE_ONLY,,,3.4940658083791343,,,False,WIDEN,,,,,,0.55,S4,M3-D,c000_s2_00055
,WIDEN,m1d_b20260827_c000,,,,,,,REFERENCE_ONLY,,,4.687131442368181,,,False,WIDEN,,,,,,0.7,S4,M3-D,c000_s2_00070
,WIDEN,m1d_b20260827_c000,,,,,,,REFERENCE_ONLY,,,2.3653751927770035,,,False,WIDEN,,,,,,0.85,S4,M3-D,c000_s2_00085
,WIDEN,m1d_b20260827_c000,,,,,,,REFERENCE_ONLY,,,0.9150614889069679,,,False,WIDEN,,,,,,1.0,S4,M3-D,c000_s2_00100
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c000,,,,,,,NOT_SELECTED,,,0.9823435747427802,AMBIGUOUS,0.6669375011482432,False,WIDEN,6626.382678683586,0.017848524443143814,0.7874344101638077,0.6669375011482432,-0.1591076731668286,1.25,S4,M3-D|D2-DISCOVERY,c000_s2_00125
,WIDEN,m1d_b20260827_c000,,0.19498721575508957,0.00043290089891996196,4.666621059802019,0.11680526374564115,-0.06542492754623053,CONFIRMED,WIDEN,,0.18801473867854093,WIDEN,0.09477427643502434,True,WIDEN,11783.508113803118,0.0005434219782088812,2.7272011257805513,0.09477427643502434,-0.0784842638797818,1.6,S4,M3-D|D2-DISCOVERY|D2-CONFIRMATION,c000_s2_00160
,WIDEN,m1d_b20260827_c000,,,,,,,NOT_SELECTED,,,0.12682478693720423,WIDEN,0.0621718571537051,False,WIDEN,13342.675022857316,0.0004946699139434578,1.862144956344911,0.0621718571537051,-0.05737620483059369,2.0,S4,M3-D|D2-DISCOVERY,c000_s2_00200
no_unique_preregistered_class,AMBIGUOUS,m1d_b20260827_c000,,,,,,,NOT_APPLICABLE_D3_DISCOVERY,,AMBIGUOUS,-0.003486788152643622,,0.03758050858245188,False,,14128.956559378359,0.0004300363226429811,0.1267324105458841,0.03758050858245188,-0.003486788152643583,2.378414230005442,,D3-BOUNDARY,m1d_b20260827_c000_d3_s2_2p37841423001
no_unique_preregistered_class,AMBIGUOUS,m1d_b20260827_c000,,,,,,,NOT_SELECTED,,,-0.0010280274935378494,AMBIGUOUS,0.05226771790786788,False,,14469.073537743645,0.0004280294561502871,0.0354175303344846,0.05226771790786788,-0.0010280274935378086,2.5,S4,D2-DISCOVERY,c000_s2_00250
,HOLD,m1d_b20260827_c000,,,,,,,NOT_APPLICABLE_D3_DISCOVERY,,HOLD,-0.0013430827900823,,0.017934013740088517,False,,14603.963915155487,0.0004483668249045443,0.05294031805356493,0.017934013740088517,-0.0013430827900823283,2.82842712474619,,D3-BOUNDARY,m1d_b20260827_c000_d3_s2_2p82842712475
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c000,,,,,,,NOT_SELECTED,,,0.022800606254844587,AMBIGUOUS,0.020420507609782312,False,HOLD,14580.425114521515,0.00039383191513300337,0.08130427240536071,-0.020420507609782312,0.0019144986915275997,3.2,S4,M3-D|D2-DISCOVERY,c000_s2_00320
no_unique_preregistered_class,AMBIGUOUS,m1d_b20260827_c000,,,,,,,NOT_APPLICABLE_D3_DISCOVERY,,AMBIGUOUS,-0.0011021755172237497,,0.04070351938410233,False,,14319.298108552131,0.00043370185167251136,0.04141694011468861,-0.0011021755172238024,0.04070351938410233,3.363585661014858,,D3-BOUNDARY,m1d_b20260827_c000_d3_s2_3p36358566101
