ambiguity_reason,class,comparison_group,config_id,confirmation_ambiguity_reason,direction_margin,hold_proximity_score,minimum_arm_ess,paired_se,paired_support,r_s,r_w,s2,stage,state_id
no_unique_preregistered_class,AMBIGUOUS,D3_AMBIGUOUS,m1d_b20260827_c000,,-0.003486788152643622,0.03758050858245188,14128.956559378359,0.0004300363226429811,0.1267324105458841,0.03758050858245188,-0.003486788152643583,2.378414230005442,D3-BOUNDARY,m1d_b20260827_c000_d3_s2_2p37841423001
,HOLD,D3_HOLD,m1d_b20260827_c000,,-0.0013430827900823,0.017934013740088517,14603.963915155487,0.0004483668249045443,0.05294031805356493,0.017934013740088517,-0.0013430827900823283,2.82842712474619,D3-BOUNDARY,m1d_b20260827_c000_d3_s2_2p82842712475
no_unique_preregistered_class,AMBIGUOUS,D3_AMBIGUOUS,m1d_b20260827_c000,,-0.0011021755172237497,0.04070351938410233,14319.298108552131,0.00043370185167251136,0.04141694011468861,-0.0011021755172238024,0.04070351938410233,3.363585661014858,D3-BOUNDARY,m1d_b20260827_c000_d3_s2_3p36358566101
no_unique_preregistered_class,AMBIGUOUS,D3_AMBIGUOUS,m1d_b20260827_c001,,-0.006507089300693628,0.05443717578880514,12900.872043265916,0.0008703724126332304,0.24684388549437164,0.05443717578880514,-0.006507089300693658,3.1622776601683795,D3-BOUNDARY,m1d_b20260827_c001_d3_s2_3p16227766017
,HOLD,D2_CONFIRMED_HOLD,m1d_b20260827_c001,,0.005537042730721488,0.008932800898303173,13204.679534990843,0.0008191512628325453,0.2037957903971932,0.005537042730721531,0.008932800898303173,4.0,M3-D|D2-DISCOVERY|D2-CONFIRMATION,c001_s2_00400
no_unique_preregistered_class,AMBIGUOUS,D3_AMBIGUOUS,m1d_b20260827_c004,,-0.005317265531419476,0.053333189135022385,9477.031168979032,0.0020902341113258668,0.10962743943819481,0.053333189135022385,-0.005317265531419424,5.059644256269406,D3-BOUNDARY,m1d_b20260827_c004_d3_s2_5p05964425627
unsupported_required_contrast,AMBIGUOUS,D3_AMBIGUOUS,m1d_b20260827_c004,,0.06417684031443313,0.036174230442671096,9561.46551249486,0.0017475714557587058,0.7740153929571496,-0.026313868908750204,0.036174230442671096,6.362165830136404,D3-BOUNDARY,m1d_b20260827_c004_d3_s2_6p36216583014
,AMBIGUOUS,D2_PROVISIONAL_HOLD_LOST_AT_CONFIRMATION,m1d_b20260827_c006,unsupported_required_contrast,0.016239987488911613,0.02814936535377499,2143.5294562024715,0.03466896200931257,0.09480558573180219,0.02814936535377499,0.016239987488911645,1.25,D2-DISCOVERY|D2-CONFIRMATION,c006_s2_00125
,AMBIGUOUS,D2_PROVISIONAL_HOLD_LOST_AT_CONFIRMATION,m1d_b20260827_c006,unsupported_required_contrast,-0.0065097512094624945,0.02966957363222167,2735.0082886334017,0.020236402813633734,0.05267654883797755,-0.006509751209462511,0.02966957363222167,8.0,D2-DISCOVERY|D2-CONFIRMATION,c006_s2_00800
,HOLD,D2_CONFIRMED_HOLD,m1d_b20260827_c007,,-0.009736553894542895,0.009736553894542865,4126.163840872062,0.0015038825843157668,0.06424569292796392,0.00047705824860910795,-0.009736553894542865,1.25,D2-DISCOVERY|D2-CONFIRMATION,c007_s2_00125
unsupported_required_contrast,AMBIGUOUS,D3_AMBIGUOUS,m1d_b20260827_c010,,0.050694998180386724,0.0346652432619049,10787.125995827646,0.0016310333562463478,0.4021429896231504,0.01427240047439704,-0.0346652432619049,4.023786974985393,D3-BOUNDARY,m1d_b20260827_c010_d3_s2_4p02378697499
,HOLD,D2_CONFIRMED_HOLD,m1d_b20260827_c010,,0.012811736450210108,0.029573930444085628,11835.203266795776,0.0017350065550987622,0.30409986676612477,0.029573930444085628,0.012811736450210054,5.0,D2-DISCOVERY|D2-CONFIRMATION,c010_s2_00500
no_unique_preregistered_class,AMBIGUOUS,D3_AMBIGUOUS,m1d_b20260827_c010,,0.006922181247830708,0.031123449382885582,11476.881022611813,0.0012533125061345303,0.21763975617722153,0.031123449382885582,0.006922181247830617,5.059644256269406,D3-BOUNDARY,m1d_b20260827_c010_d3_s2_5p05964425627
unsupported_required_contrast,AMBIGUOUS,D3_AMBIGUOUS,m1d_b20260827_c010,,0.050970709343641125,0.024966203566019196,11652.91084236324,0.0015537663264589218,0.6465296654475707,-0.024966203566019196,0.024731960672244035,6.362165830136404,D3-BOUNDARY,m1d_b20260827_c010_d3_s2_6p36216583014
unsupported_required_contrast,AMBIGUOUS,D3_AMBIGUOUS,m1d_b20260827_c020,,0.03711586430899372,0.024829108713054326,11534.901714931848,0.0017233270138148498,0.4572496341128298,0.024829108713054326,-0.011847042378554162,3.8054627680087076,D3-BOUNDARY,m1d_b20260827_c020_d3_s2_3p80546276801
,HOLD,D3_HOLD,m1d_b20260827_c020,,0.00671211415838767,0.028650307972128974,11332.944222401411,0.0013335958713339216,0.27418311310078747,0.006712114158387683,0.028650307972128974,4.525483399593904,D3-BOUNDARY,m1d_b20260827_c020_d3_s2_4p52548339959
unsupported_required_contrast,AMBIGUOUS,D3_AMBIGUOUS,m1d_b20260827_c020,,0.06249315201281392,0.034464948699830966,10712.273462800058,0.0019773853197020148,0.8723038683417288,-0.026379655492259513,0.034464948699830966,5.3817370576237735,D3-BOUNDARY,m1d_b20260827_c020_d3_s2_5p38173705762
